open,high,low,close,volume,openTime,closeTime
1711.45,1739.67,1709.23,1739.00,52102.127,2021-02-08 15:15:00,2021-02-08 15:29:59
1739.00,1766.40,1730.14,1753.66,114377.175,2021-02-08 15:30:00,2021-02-08 15:44:59
1753.66,1758.94,1732.10,1737.78,83939.392,2021-02-08 15:45:00,2021-02-08 15:59:59
1737.80,1782.50,1737.73,1769.30,171567.623,2021-02-08 16:00:00,2021-02-08 16:14:59
1769.05,1773.45,1737.58,1740.01,102374.880,2021-02-08 16:15:00,2021-02-08 16:29:59
1740.00,1743.00,1721.56,1730.79,88127.864,2021-02-08 16:30:00,2021-02-08 16:44:59
1730.80,1737.95,1718.45,1720.11,54025.809,2021-02-08 16:45:00,2021-02-08 16:59:59
1720.12,1734.43,1705.45,1715.81,87473.450,2021-02-08 17:00:00,2021-02-08 17:14:59
1715.82,1726.05,1715.82,1717.70,32526.678,2021-02-08 17:15:00,2021-02-08 17:29:59
1717.67,1730.00,1710.16,1718.32,30508.101,2021-02-08 17:30:00,2021-02-08 17:44:59
1718.22,1724.30,1708.01,1713.52,26252.687,2021-02-08 17:45:00,2021-02-08 17:59:59
1713.53,1720.00,1702.02,1718.37,36336.570,2021-02-08 18:00:00,2021-02-08 18:14:59
1718.39,1720.93,1712.12,1712.69,23243.756,2021-02-08 18:15:00,2021-02-08 18:29:59
1712.70,1714.41,1690.87,1694.42,50107.083,2021-02-08 18:30:00,2021-02-08 18:44:59
1694.42,1707.65,1694.34,1702.03,33126.043,2021-02-08 18:45:00,2021-02-08 18:59:59
1702.02,1710.95,1696.17,1707.09,29405.213,2021-02-08 19:00:00,2021-02-08 19:14:59
1707.30,1713.20,1705.16,1706.88,20715.742,2021-02-08 19:15:00,2021-02-08 19:29:59
1706.85,1710.65,1701.05,1705.07,19381.770,2021-02-08 19:30:00,2021-02-08 19:44:59
1705.08,1706.80,1692.70,1701.83,21080.350,2021-02-08 19:45:00,2021-02-08 19:59:59
1701.84,1718.70,1696.97,1715.58,32332.508,2021-02-08 20:00:00,2021-02-08 20:14:59
1715.59,1716.27,1706.56,1709.92,20992.164,2021-02-08 20:15:00,2021-02-08 20:29:59
1709.91,1718.52,1707.00,1709.00,22492.405,2021-02-08 20:30:00,2021-02-08 20:44:59
1709.00,1741.60,1709.00,1722.77,62611.700,2021-02-08 20:45:00,2021-02-08 20:59:59
1723.00,1724.16,1713.82,1718.29,20555.246,2021-02-08 21:00:00,2021-02-08 21:14:59
1718.30,1726.70,1716.00,1722.77,18644.093,2021-02-08 21:15:00,2021-02-08 21:29:59
1722.79,1725.71,1716.19,1722.65,24052.607,2021-02-08 21:30:00,2021-02-08 21:44:59
1722.83,1723.57,1700.00,1701.14,39682.463,2021-02-08 21:45:00,2021-02-08 21:59:59
1701.14,1715.41,1699.56,1711.03,27660.663,2021-02-08 22:00:00,2021-02-08 22:14:59
1711.03,1715.11,1702.24,1714.59,16484.374,2021-02-08 22:15:00,2021-02-08 22:29:59
1714.60,1723.41,1708.32,1723.05,16300.129,2021-02-08 22:30:00,2021-02-08 22:44:59
1723.05,1724.82,1716.00,1719.79,19019.015,2021-02-08 22:45:00,2021-02-08 22:59:59
1719.76,1722.67,1710.69,1722.35,27765.682,2021-02-08 23:00:00,2021-02-08 23:14:59
1722.32,1753.49,1722.11,1741.12,84952.145,2021-02-08 23:15:00,2021-02-08 23:29:59
1741.34,1758.70,1732.09,1745.14,63973.461,2021-02-08 23:30:00,2021-02-08 23:44:59
1745.25,1758.99,1736.23,1755.61,50962.925,2021-02-08 23:45:00,2021-02-08 23:59:59
1755.60,1777.00,1745.30,1747.18,110112.603,2021-02-09 00:00:00,2021-02-09 00:14:59
1747.13,1752.64,1738.32,1744.72,40655.537,2021-02-09 00:15:00,2021-02-09 00:29:59
1744.72,1767.03,1744.70,1766.96,41191.091,2021-02-09 00:30:00,2021-02-09 00:44:59
1766.96,1769.43,1751.36,1758.87,31769.184,2021-02-09 00:45:00,2021-02-09 00:59:59
1758.87,1758.96,1745.42,1751.42,24732.672,2021-02-09 01:00:00,2021-02-09 01:14:59
1751.41,1753.09,1734.03,1736.70,25892.146,2021-02-09 01:15:00,2021-02-09 01:29:59
1736.76,1743.15,1732.06,1739.69,25464.569,2021-02-09 01:30:00,2021-02-09 01:44:59
1739.69,1743.72,1734.00,1739.90,16388.469,2021-02-09 01:45:00,2021-02-09 01:59:59
1739.90,1740.00,1713.20,1728.82,51618.871,2021-02-09 02:00:00,2021-02-09 02:14:59
1728.82,1735.79,1727.51,1730.61,18844.072,2021-02-09 02:15:00,2021-02-09 02:29:59
1730.67,1737.92,1728.45,1733.05,14612.440,2021-02-09 02:30:00,2021-02-09 02:44:59
1733.06,1737.10,1723.54,1728.18,22427.187,2021-02-09 02:45:00,2021-02-09 02:59:59
1728.18,1728.18,1715.10,1724.07,25328.565,2021-02-09 03:00:00,2021-02-09 03:14:59
1723.98,1738.99,1722.77,1733.19,21425.524,2021-02-09 03:15:00,2021-02-09 03:29:59
1733.29,1741.97,1731.66,1738.73,21348.147,2021-02-09 03:30:00,2021-02-09 03:44:59
1738.72,1741.37,1734.53,1738.89,15339.053,2021-02-09 03:45:00,2021-02-09 03:59:59
1739.07,1741.00,1731.39,1733.43,25064.451,2021-02-09 04:00:00,2021-02-09 04:14:59
1733.42,1753.06,1731.39,1750.54,27231.434,2021-02-09 04:15:00,2021-02-09 04:29:59
1750.54,1755.00,1741.05,1746.78,20294.828,2021-02-09 04:30:00,2021-02-09 04:44:59
1746.91,1749.23,1736.66,1740.96,17705.721,2021-02-09 04:45:00,2021-02-09 04:59:59
1740.96,1749.24,1739.43,1747.71,14332.848,2021-02-09 05:00:00,2021-02-09 05:14:59
1747.36,1749.28,1744.59,1749.28,7079.248,2021-02-09 05:15:00,2021-02-09 05:29:59
1749.28,1749.99,1732.24,1735.21,20721.006,2021-02-09 05:30:00,2021-02-09 05:44:59
1735.23,1753.25,1735.15,1746.64,24245.418,2021-02-09 05:45:00,2021-02-09 05:59:59
1746.63,1747.33,1734.69,1740.33,24356.565,2021-02-09 06:00:00,2021-02-09 06:14:59
1740.32,1750.00,1738.82,1745.99,21114.255,2021-02-09 06:15:00,2021-02-09 06:29:59
1746.00,1751.71,1737.79,1751.71,33046.535,2021-02-09 06:30:00,2021-02-09 06:44:59
1751.71,1775.00,1748.41,1774.64,64237.711,2021-02-09 06:45:00,2021-02-09 06:59:59
1774.56,1776.00,1751.23,1762.32,52429.009,2021-02-09 07:00:00,2021-02-09 07:14:59
1762.38,1766.09,1754.26,1755.72,27545.724,2021-02-09 07:15:00,2021-02-09 07:29:59
1755.72,1759.00,1744.78,1752.34,32915.274,2021-02-09 07:30:00,2021-02-09 07:44:59
1752.35,1758.22,1748.18,1754.21,20482.327,2021-02-09 07:45:00,2021-02-09 07:59:59
1753.81,1806.63,1753.81,1805.80,147087.159,2021-02-09 08:00:00,2021-02-09 08:14:59
1805.73,1820.04,1786.07,1820.00,114487.562,2021-02-09 08:15:00,2021-02-09 08:29:59
1820.00,1820.17,1798.41,1804.27,73141.671,2021-02-09 08:30:00,2021-02-09 08:44:59
1804.23,1815.08,1803.82,1809.00,33069.790,2021-02-09 08:45:00,2021-02-09 08:59:59
1809.00,1830.47,1807.94,1819.04,67022.483,2021-02-09 09:00:00,2021-02-09 09:14:59
1819.04,1824.00,1808.00,1808.38,38758.478,2021-02-09 09:15:00,2021-02-09 09:29:59
1808.38,1812.73,1763.41,1766.44,115986.675,2021-02-09 09:30:00,2021-02-09 09:44:59
1766.75,1785.52,1766.60,1779.43,49623.408,2021-02-09 09:45:00,2021-02-09 09:59:59
1779.43,1783.65,1755.44,1768.95,60537.902,2021-02-09 10:00:00,2021-02-09 10:14:59
1768.88,1782.54,1763.59,1768.35,32868.219,2021-02-09 10:15:00,2021-02-09 10:29:59
1768.37,1774.31,1763.37,1767.97,22874.191,2021-02-09 10:30:00,2021-02-09 10:44:59
1768.16,1770.99,1727.96,1738.22,98282.768,2021-02-09 10:45:00,2021-02-09 10:59:59
1738.02,1753.74,1736.44,1746.35,50498.466,2021-02-09 11:00:00,2021-02-09 11:14:59
1746.35,1755.84,1739.02,1751.92,32805.945,2021-02-09 11:15:00,2021-02-09 11:29:59
1751.92,1765.21,1751.30,1760.99,36873.033,2021-02-09 11:30:00,2021-02-09 11:44:59
